term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
attention,0.002774377367259656,0.5458449375373086,51,6,0.1855858128777293,0.0029945466091272884,5,5,11,6,7,5,4,8,"Everything Everywhere All at Once:11, Don't Look Up:8, F1 The Movie:7",평가/추천/강한 호평
special,0.0027253811504699098,0.7450598006496116,39,6,0.12389290749167163,-0.051966733648137586,1,3,8,2,8,4,10,3,"Red Notice:10, Everything Everywhere All at Once:8, F1 The Movie:8",평가/추천/강한 호평
surprised,0.0026429334475661175,0.7493288904442306,35,0,0.14407760940299494,-0.014303944517708648,4,2,4,3,6,6,4,6,"F1 The Movie:6, GOAT:6, Don't Look Up:6",평가/추천/강한 호평
lots,0.002624758448928178,0.7206520217221388,34,6,0.15449820662721983,0.031354291906930495,3,0,3,8,4,4,9,3,"Red Notice:9, Apex:8, F1 The Movie:4",평가/추천/강한 호평
seeing,0.002615905830210981,0.749451118253375,48,0,0.15649597953797542,-0.032542406797356746,8,8,6,7,12,3,3,1,"F1 The Movie:12, KPop Demon Hunters:8, Whiplash:8",평가/추천/강한 호평
wish,0.002576331394054031,1.0,37,0,0.12976051736799069,-0.06437852277553233,8,3,9,5,6,1,2,3,"Everything Everywhere All at Once:9, KPop Demon Hunters:8, F1 The Movie:6",평가/추천/강한 호평
wonderful,0.0025433771047199244,0.8154683502834479,34,5,0.1400846578746518,-0.021620748105319963,5,6,6,0,2,7,2,6,"GOAT:7, Whiplash:6, Everything Everywhere All at Once:6",평가/추천/강한 호평
took,0.0025409389727763733,0.5289541849454186,43,0,0.13518986207359499,-0.028016702397005013,5,3,8,4,4,11,3,5,"GOAT:11, Everything Everywhere All at Once:8, KPop Demon Hunters:5",평가/추천/강한 호평
son,0.0025009026059633218,0.7146876578464789,34,0,0.17529013262628948,0.12627276358690045,4,2,0,0,3,18,1,6,"GOAT:18, Don't Look Up:6, KPop Demon Hunters:4",평가/추천/강한 호평
crazy,0.0023941001862608324,0.9550510953651513,37,6,0.14160431775193816,-0.0322961778796438,2,6,13,8,1,1,1,5,"Everything Everywhere All at Once:13, Apex:8, Whiplash:6",평가/추천/강한 호평
expect,0.0023820938286834,0.6557373325387122,36,6,0.14050815617587314,-0.053068134828426164,4,1,2,4,8,5,9,3,"Red Notice:9, F1 The Movie:8, GOAT:5",평가/추천/강한 호평
wait,0.0023773396356932095,1.0,28,0,0.13840382545383625,0.003840674744978046,9,1,1,2,2,7,4,2,"KPop Demon Hunters:9, GOAT:7, Red Notice:4",평가/추천/강한 호평
creative,0.002299487836136693,0.8492856242722376,34,5,0.11132269552488125,-0.022784164779814764,2,2,14,1,1,9,2,3,"Everything Everywhere All at Once:14, GOAT:9, Don't Look Up:3",평가/추천/강한 호평
inspiring,0.002262068938332867,0.7176510117709225,31,5,0.130913895100115,0.08395686020642097,3,7,1,0,3,14,0,3,"GOAT:14, Whiplash:7, KPop Demon Hunters:3",평가/추천/강한 호평
deep,0.0022055208802425614,0.5203769561589153,43,5,0.13483487964204388,0.01424765290184663,7,2,16,6,0,4,3,5,"Everything Everywhere All at Once:16, KPop Demon Hunters:7, Apex:6",평가/추천/강한 호평
adults,0.0021831926563882016,0.718531014312785,23,0,0.14323976553073178,0.17840334420063386,3,0,0,0,1,19,0,0,"GOAT:19, KPop Demon Hunters:3, F1 The Movie:1",평가/추천/강한 호평
dream,0.0021829466298073394,0.7406287051999246,34,0,0.12161011702293534,0.030658566550984364,1,6,4,0,3,17,0,3,"GOAT:17, Whiplash:6, Everything Everywhere All at Once:4",평가/추천/강한 호평
laughs,0.0021740010834623543,0.6462063739354339,25,6,0.12517670525206484,-0.0032844648676886154,1,0,2,1,0,2,8,11,"Don't Look Up:11, Red Notice:8, Everything Everywhere All at Once:2",평가/추천/강한 호평
fans,0.0021620999071715837,0.6205894292037916,34,6,0.12134450900332791,-0.04156053849859945,7,3,2,3,11,3,2,3,"F1 The Movie:11, KPop Demon Hunters:7, Whiplash:3",평가/추천/강한 호평
packed,0.002142105361062171,0.5846180990827328,30,6,0.15417394227862802,0.03944437348312686,3,0,4,5,8,2,7,1,"F1 The Movie:8, Red Notice:7, Apex:5",평가/추천/강한 호평
course,0.002123774480987732,0.46980654626671337,44,5,0.15591807688847492,0.01614370338703498,7,10,3,3,7,1,4,9,"Whiplash:10, Don't Look Up:9, KPop Demon Hunters:7",평가/추천/강한 호평
classic,0.002064966225487005,0.7152036451968218,35,5,0.09773421205661878,-0.05413496062217592,4,7,3,1,7,4,5,4,"Whiplash:7, F1 The Movie:7, Red Notice:5",평가/추천/강한 호평
minute,0.002040073739540771,0.8485236063365712,31,0,0.11542308026529154,0.0015509677288793567,3,5,3,6,6,4,0,4,"Apex:6, F1 The Movie:6, Whiplash:5",평가/추천/강한 호평
