term,mean_tfidf,max_tfidf,document_count,cluster,x,y,docs_KPop Demon Hunters,docs_Whiplash,docs_Everything Everywhere All at Once,docs_Apex,docs_F1 The Movie,docs_GOAT,docs_Red Notice,docs_Don't Look Up,dominant_movies,global_topic
animations,0.000982717686023262,0.7374691879831589,11,6,0.07452996449825576,0.05944987412785378,4,0,0,0,0,7,0,0,"GOAT:7, KPop Demon Hunters:4",평가/추천/강한 호평
refreshing,0.000981290618372942,0.5694443878052016,15,6,0.06429667062961575,-0.009248757817599856,3,2,1,2,2,3,0,2,"KPop Demon Hunters:3, GOAT:3, Whiplash:2",평가/추천/강한 호평
spot,0.0009626059071962085,0.5883776579429694,15,5,0.04801860677751263,-0.018927455491714828,1,2,1,1,3,2,2,3,"F1 The Movie:3, Don't Look Up:3, Whiplash:2",평가/추천/강한 호평
im,0.0009603784188718061,0.5338392891175697,14,0,0.05832880169194845,-0.02095521818837372,4,1,2,2,0,2,2,1,"KPop Demon Hunters:4, Everything Everywhere All at Once:2, Apex:2",평가/추천/강한 호평
adult,0.000958217144275183,0.5511893415622696,13,0,0.04454195789128405,0.005203777162937447,5,1,1,0,0,5,1,0,"KPop Demon Hunters:5, GOAT:5, Whiplash:1",평가/추천/강한 호평
relatable,0.0009546439181384715,0.3764922573588683,18,6,0.06842671554979082,-0.014474724172115464,4,0,5,0,2,4,0,3,"Everything Everywhere All at Once:5, KPop Demon Hunters:4, GOAT:4",평가/추천/강한 호평
personal,0.0009524677247795192,0.4476188397971626,24,5,0.04645567312703492,-0.038035894457738424,3,6,4,2,3,3,0,3,"Whiplash:6, Everything Everywhere All at Once:4, KPop Demon Hunters:3",평가/추천/강한 호평
streaming,0.0009465138948039458,0.4380421086895243,16,0,0.056018772675865636,-0.011172389799450911,2,0,0,5,1,2,4,2,"Apex:5, Red Notice:4, KPop Demon Hunters:2",평가/추천/강한 호평
twice,0.0009364252849727934,0.4367530649413601,13,6,0.058518443299505264,-0.011035354493986193,2,0,3,1,4,1,1,1,"F1 The Movie:4, Everything Everywhere All at Once:3, KPop Demon Hunters:2",평가/추천/강한 호평
peak,0.0009352257340368062,1.0,9,5,0.030550997913986615,-0.008157337742846296,2,1,2,0,1,1,1,1,"KPop Demon Hunters:2, Everything Everywhere All at Once:2, Whiplash:1",평가/추천/강한 호평
reminded,0.0009340221681833495,0.44114981709659035,12,0,0.05373286789697614,0.01083777063642722,0,0,0,3,3,6,0,0,"GOAT:6, Apex:3, F1 The Movie:3",평가/추천/강한 호평
lee,0.0009211739088862437,0.4321726320467218,17,6,0.04508288162059473,-0.008741559809332517,1,1,15,0,0,0,0,0,"Everything Everywhere All at Once:15, KPop Demon Hunters:1, Whiplash:1",평가/추천/강한 호평
fresh,0.0009191735482396732,0.42021860948471906,18,6,0.059314435846157136,-0.008321654814343781,2,2,5,2,3,2,0,2,"Everything Everywhere All at Once:5, F1 The Movie:3, KPop Demon Hunters:2",평가/추천/강한 호평
number,0.0009054159271587419,0.7158028389356187,12,6,0.047278673670427804,-0.017633249421135054,1,0,1,0,2,1,4,3,"Red Notice:4, Don't Look Up:3, F1 The Movie:2",평가/추천/강한 호평
